Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000197,2012-11-15,2017-05-09,"Acting Abilities:     

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 3
Oscar Nominations: 12
BAFTA Awards: 4
BAFTA Nominations: 8
Golden Globes: 6
Golden Globe Nominations: 17

Greatest Performances:

""The Shining"" - Level of Difficulty - 5 Stars
""As Good as It Gets"" - Level of Difficulty - 4.8 Stars
""One Flew…….Cuckoo's Nest"" - Level of Difficulty - 5 Stars",Jack Nicholson,Chinatown,1937-04-22
2,nm0000008,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 3
BAFTA Nominations: 8
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""The Godfather"" - Level of Difficulty - 5 Stars 
""On the Waterfront"" - Level of Difficulty - 4.9 Stars
""A Street Car Named Desire"" - Level of Difficulty - 4.8 Stars",Marlon Brando,Apocalypse Now,1924-04-03
3,nm0000134,2012-11-15,2017-02-27,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: 0
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Raging Bull"" - Level of Difficulty - 5 Stars 
""The Deer Hunter"" - Level of Difficulty - 4.7 Stars
""The Godfather: Part II"" - Level of Difficulty - 4.8 Stars",Robert De Niro,Cape Fear,1943-08-17
4,nm0000199,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 5
Golden Globes: 4
Golden Globe Nominations: 15

Greatest Performances:

""Scent of a Woman"" - Level of Difficulty - 5 Stars
""Dog Day Afternoon"" - Level of Difficulty - 4.8 Stars
""The Godfather: Part II"" - Level of Difficulty - 4.6 Stars",Al Pacino,Serpico,1940-04-25
5,nm0000358,2012-11-15,2015-01-31,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 3
Oscar Nominations: 5
BAFTA Awards: 4
BAFTA Nominations: 6
Golden Globes: 2
Golden Globe Nominations: 7

Greatest Performances: 

""Lincoln"" - Level of Difficulty - 5 Stars
""My Left Foot"" - Level of Difficulty - 5 Stars
""There Will Be Blood"" - Level of Difficulty - 5 Stars",Daniel Day-Lewis,There Will Be Blood,1957-04-29
6,nm0000163,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: 4
BAFTA Nominations: 10
Golden Globes: 5
Golden Globe Nominations: 13

Greatest Performances: 

""Rain Man"" - Level of Difficulty - 5 Stars 
""Midnight Cowboy"" - Level of Difficulty - 4.8 Stars
""Kramer vs. Kramer"" - Level of Difficulty - 4.6 Stars",Dustin Hoffman,Tootsie,1937-08-08
7,nm0000158,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 4
Golden Globe Nominations: 8

Greatest Performances: 

""Forrest Gump"" - Level of Difficulty - 5 Stars
""Philadelphia"" - Level of Difficulty - 4.9 Stars
""Saving Private Ryan"" - Level of Difficulty - 4.7 Stars",Tom Hanks,Cast Away,1956-07-09
8,nm0000164,2012-11-15,2013-06-29,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 9
Golden Globes: 0
Golden Globe Nominations: 6

Greatest Performances: 

""Nixon"" - Level of Difficulty - 4.8 Stars
""Silence of the Lambs"" - Level of Difficulty - 5 Stars
""The Remains of the Day"" - Level of Difficulty - 4.8 Stars",Anthony Hopkins,The Silence of the Lambs,1937-12-31
9,nm0000056,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 10
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 3
Golden Globe Nominations: 12

Greatest Performances:

""The Verdict"" - Level of Difficulty - 4.7 Stars
""Road to Perdition"" - Level of Difficulty - 4.7 Stars
""The Color of Money"" - Level of Difficulty - 4.8 Stars",Paul Newman,The Hustler,1925-01-26
10,nm0000243,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 8 (1 for Producing)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 2
Golden Globe Nominations: 8

Greatest Performances:

""Glory"" - Level of Difficulty - 4.6 Stars
""Malcolm X"" - Level of Difficulty - 4.8 Stars
""Training Day"" - Level of Difficulty - 5 Stars",Denzel Washington,Fences,1954-12-28
11,nm0000075,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 9
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances:

""Boys Town"" - Level of Difficulty - 4.7 Stars
""Captains Courageous"" - Level of Difficulty - 4.6 Stars                   
""Judgement at Nuremberg"" - Level of Difficulty - 4.7 Stars",Spencer Tracy,Judgment at Nuremberg,1900-04-05
