Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0417837,2010-12-29,2011-03-01,TOP 4,Emil Jannings,The Last Command,1884-07-23
2,nm0151606,2010-12-29,2011-03-01,TOP 4,Lon Chaney,He Who Gets Slapped,1883-04-01
3,nm0001452,2010-12-29,2011-03-01,TOP 4,Charles Laughton,Witness for the Prosecution,1899-07-01
4,nm0000027,2010-12-29,2011-03-01,TOP 4,Alec Guinness,Star Wars,1914-04-02
5,nm0000059,2010-12-29,2010-12-29,,Laurence Olivier,Sleuth,1907-05-22
6,nm0001537,2010-12-29,2010-12-29,,Ray Milland,The Lost Weekend,1907-01-03
7,nm0000032,2010-12-29,2010-12-29,,Charlton Heston,Ben-Hur,1923-10-04
8,nm0000134,2010-12-29,2010-12-29,,Robert De Niro,Cape Fear,1943-08-17
9,nm0002001,2010-12-29,2010-12-29,,Maurice Chevalier,Gigi,1888-09-12
10,nm0000007,2010-12-29,2010-12-29,,Humphrey Bogart,Casablanca,1899-12-25
11,nm0634159,2011-01-01,2011-01-01,,Philippe Noiret,Nuovo Cinema Paradiso,1930-10-01
12,nm0000024,2011-01-01,2011-01-01,,John Gielgud,Arthur,1904-04-14
13,nm0000163,2011-01-27,2011-01-27,,Dustin Hoffman,Tootsie,1937-08-08
14,nm0000164,2011-01-31,2011-01-31,,Anthony Hopkins,The Silence of the Lambs,1937-12-31
15,nm0000158,2011-01-31,2011-01-31,,Tom Hanks,Cast Away,1956-07-09
16,nm0000197,2011-01-31,2011-01-31,,Jack Nicholson,Chinatown,1937-04-22
17,nm0000380,2011-01-31,2011-01-31,,Robert Duvall,The Apostle,1931-01-05
18,nm0001358,2011-01-31,2011-01-31,,Hal Holbrook,Into the Wild,1925-02-17
19,nm0590055,2011-02-13,2011-02-13,,John Mills,Great Expectations,1908-02-22
20,nm0000008,2011-02-27,2011-02-27,,Marlon Brando,Apocalypse Now,1924-04-03
21,nm0000010,2011-02-14,2011-02-14,,James Cagney,Angels with Dirty Faces,1899-07-17
22,nm0412322,2011-01-31,2011-01-31,,Burl Ives,The Big Country,1909-06-14
23,nm0002024,2011-02-27,2013-03-10,Il Bidone-Fellini,Broderick Crawford,All the King's Men,1911-12-09
24,nm0001715,2011-02-28,2011-02-28,,George C. Scott,Patton,1927-10-18
25,nm0000064,2011-02-28,2011-02-28,,Edward G. Robinson,Double Indemnity,1893-12-12
26,nm0000493,2011-03-01,2011-03-01,,Jack Lemmon,The Apartment,1925-02-08
27,nm0000080,2011-03-01,2011-03-01,,Orson Welles,Citizen Kane,1915-05-06
28,nm0545298,2011-03-01,2011-03-01,,Fredric March,Dr. Jekyll and Mr. Hyde,1897-08-31
29,nm0002231,2011-03-01,2011-03-01,,Gian Maria Volontè,Per un pugno di dollari,1933-04-09
30,nm0002094,2011-10-17,2011-10-17,,Vittorio Gassman,Il sorpasso,1922-09-01
31,nm0001627,2011-10-17,2011-10-17,,Sidney Poitier,In the Heat of the Night,1927-02-20
32,nm0001536,2011-10-17,2011-10-17,,Toshirô Mifune,Yôjinbô,1920-04-01
33,nm0001884,2011-10-17,2011-10-17,,Max von Sydow,Flash Gordon,1929-04-10
34,nm0000634,2011-10-17,2011-10-17,,Peter Sellers,Being There,1925-09-08
35,nm0001811,2011-10-23,2011-10-23,,Peter Ustinov,Spartacus,1921-04-16
36,nm0001727,2011-10-24,2011-10-24,,Robert Shaw,A Man for All Seasons,1927-08-09
37,nm0000460,2011-10-24,2011-10-24,,Jeremy Irons,Dead Ringers,1948-09-19
38,nm0000323,2011-10-24,2011-10-24,,Michael Caine,The Dark Knight,1933-03-14
39,nm0370564,2011-10-24,2011-10-24,,Sessue Hayakawa,The Bridge on the River Kwai,1886-06-10
40,nm0000056,2011-10-24,2011-10-24,,Paul Newman,The Hustler,1925-01-26
41,nm0002048,2011-10-24,2011-10-24,,Melvyn Douglas,Being There,1901-04-05
42,nm0000243,2011-10-24,2011-10-24,,Denzel Washington,Fences,1954-12-28
43,nm0000063,2011-10-25,2011-10-25,,Anthony Quinn,Alexis Zorbas,1915-04-21
44,nm0001426,2013-04-05,2013-04-05,,Ben Kingsley,Sexy Beast,1943-12-31
45,nm0929093,2011-10-24,2011-10-24,,José Wilker,Senhora do Destino,1946-08-20
46,nm0001215,2011-10-24,2011-10-24,,Albert Finney,Murder on the Orient Express,1936-05-09
47,nm0000518,2011-10-24,2011-10-24,,John Malkovich,Being John Malkovich,1953-12-09
48,nm0000582,2011-10-24,2011-10-24,,Joe Pesci,GoodFellas,1943-02-09
49,nm0000358,2011-11-08,2011-11-08,,Daniel Day-Lewis,There Will Be Blood,1957-04-29
50,nm0598971,2011-10-25,2011-10-25,,Yves Montand,Jean de Florette,1921-10-13
51,nm0000849,2011-10-25,2011-10-25,,Javier Bardem,Skyfall,1969-03-01
52,nm0004486,2011-11-08,2011-11-08,,Bruno Ganz,Der Untergang,1941-03-22
53,nm0610620,2013-03-11,2013-03-11,,Ivan Mozzhukhin,L'angoissante aventure,1889-09-26
54,nm0000151,2011-11-08,2011-11-08,,Morgan Freeman,Invictus,1937-06-01
55,nm0001673,2011-11-08,2011-11-08,,Jason Robards,All the President's Men,1922-07-26
56,nm0001647,2011-10-25,2011-10-25,,Claude Rains,Casablanca,1889-11-10
57,nm0906932,2011-11-08,2011-11-08,,Anton Walbrook,The Red Shoes,1896-11-19
58,nm0000044,2011-11-08,2011-11-08,,Burt Lancaster,From Here to Eternity,1913-11-02
