Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000019,2011-02-17,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0044000]The White Sheik[/link] (1952), [link=tt0046521][red]I Vitelloni[/red][/link] (1953), [link=tt0047528][red]La Strada[/red][/link] (1954), [link=tt0047876][red]Il Bidone[/red][/link] (1955), [link=tt0050783][red]Nights of Cabiria[/red][/link] (1957), [link=tt0053779][red]La Dolce Vita[/red][/link] (1960), [link=tt0056801][red]8½[/red][/link] (1963), [link=tt0059229][red]Juliet of the Spirits[/red][/link] (1965), [link=tt0063715]Spirits of the Dead[/link] (segment ""Toby Dammit"", 1968), [link=tt0064940][red]Fellini Satyricon[/red][/link] (1969), [link=tt0066922]The Clowns[/link] (1970), [link=tt0069191][red]Fellini's Roma[/red][/link] (1972), [link=tt0071129][red]Amarcord[/red][/link] (1973), [link=tt0074291][red]Fellini's Casanova[/red][/link] (1976), [link=tt0079759]Orchestra Rehearsal[/link] (1978),  [link=tt0080539]City of Women[/link] (1980), [link=tt0087188][red]And the Ship Sails On[/red][/link] (1984), [link=tt0091113]Ginger and Fred[/link] (1986), [link=tt0093267]Fellini's Intervista[/link] (1987), [link=tt0098606]The Voice of the Moon[/link] (1990)",Federico Fellini,Le notti di Cabiria,1920-01-20
2,nm0000040,2010-10-12,2012-06-21,"[b]Recommended Viewing:[/b] [link=tt0048254]Killer's Kiss[/link] (1955), [link=tt0049406][red]The Killing[/red][/link] (1956), [link=tt0050825][red]Paths of Glory[/red][/link] (1957), [link=tt0054331]Spartacus[/link] (1960), [link=tt0056193]Lolita[/link] (1962), [link=tt0057012][red]Dr. Strangelove[/red][/link] (1964), [link=tt0062622][red]2001: A Space Odyssey[/red][/link] (1968), [link=tt0066921][red]A Clockwork Orange[/red][/link] (1971), [link=tt0072684][red]Barry Lyndon[/red][/link] (1975), [link=tt0081505][red]The Shining[/red][/link] (1980), [link=tt0093058][red]Full Metal Jacket[/red][/link] (1987), [link=tt0120663]Eyes Wide Shut[/link] (1999)",Stanley Kubrick,2001: A Space Odyssey,1928-07-26
3,nm0000041,2010-10-12,2012-07-27,"[b]Recommended Viewing:[/b] [link=tt0040979]Drunken Angel[/link] (1948), [link=tt0041699][red]Stray Dog[/red][/link] (1949), [link=tt0042876][red]Rashômon[/red][/link] (1950), [link=tt0044741][red]Ikiru[/red][/link] (1952), [link=tt0047478][red]Seven Samurai[/red][/link] (1954), [link=tt0050613][red]Throne of Blood[/red][/link] (1957), [link=tt0051808]The Hidden Fortress[/link] (1958), [link=tt0054460][red]The Bad Sleep Well[/red][/link] (1960), [link=tt0055630][red]Yojimbo[/red][/link] (1961), [link=tt0057565][red]High and Low[/red][/link] (1963), [link=tt0058888][red]Red Beard[/red][/link] (1965), [link=tt0065649][red]Dodes'ka-den[/red][/link] (1970), [link=tt0071411][red]Dersu Uzala[/red][/link] (1975), [link=tt0080979][red]Kagemusha[/red][/link] (1980), [link=tt0089881][red]Ran[/red][/link] (1985), [link=tt0100998]Akira Kurosawa's Dreams[/link] (1990)",Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
4,nm0000080,2010-10-12,2012-07-03,"[b]Recommended Viewing:[/b] [link=tt0033467][red]Citizen Kane[/red][/link] (1941), [link=tt0035015][red]The Magnificent Ambersons[/red][/link] (1942), [link=tt0038991][red]The Stranger[/red][/link] (1946), [link=tt0040525][red]The Lady from Shanghai[/red][/link] (1947), [link=tt0045251]Othello[/link] (1952), [link=tt0048393]Mr. Arkadin[/link] (1955), [link=tt0166198]The Fountain of Youth[/link] (1956), [link=tt0052311][red]Touch of Evil[/red][/link] (1958), [link=tt0057427]The Trial[/link] (1962), [link=tt0059012]Chimes at Midnight[/link] (1965), [link=tt0072962][red]F for Fake[/red][/link] (1973)",Orson Welles,Citizen Kane,1915-05-06
5,nm0003433,2010-10-12,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0011607]The Parson's Widow[/link] (1920), [link=tt0015136]Michael[/link] (1924), [link=tt0015768]Master of the House[/link] (1925), [link=tt0019254][red]The Passion of Joan of Arc[/red][/link] (1928), [link=tt0023649][red]Vampyr[/red][/link] (1932), [link=tt0036506][red]Day of Wrath[/red][/link] (1943), [link=tt0038196]Two People[/link] (1945), [link=tt0048452][red]Ordet[/red][/link] (1955), [link=tt0058138][red]Gertrud[/red][/link] (1964)",Carl Theodor Dreyer,La passion de Jeanne d'Arc,1889-02-03
6,nm0000419,2010-10-12,2012-07-25,"[b]Recommended Viewing:[/b] [link=tt0053472][red]Breathless[/red][/link] (1959), [link=tt0055572][red]Une femme est une femme[/red][/link] (1961), [link=tt0056663][red]Vivre sa vie[/red][/link] (1962), [link=tt0056905]Les Carabineers[/link] (1963), [link=tt0057345][red]Contempt[/red][/link] (1963), [link=tt0057869][red]Bande à part[/red][/link] (1964), [link=tt0058701][red]A Married Woman[/red][/link] (1964), [link=tt0058898]Alphaville[/link] (1965), [link=tt0059592][red]Pierrot le fou[/red][/link] (1965), [link=tt0060675]Masculin Féminin[/link] (1966), [link=tt0060647]Made in U.S.A.[/link] (1966), [link=tt0060304][red]2 or 3 Things I Know About Her[/red][/link] (1967), [link=tt0061473][red]La Chinoise[/red][/link] (1967), [link=tt0062480]Week-End[/link] (1967), [link=tt0063665]Sympathy for the Devil[/link] (1968), [link=tt0062997]Le Gai Savoir[/link] (1968), [link=tt0069398]Tout va bien[/link] (1972) [co-directed by [link=nm0330948]Jean-Pierre Gorin[/link]], [link=tt0084481]Passion[/link] (1982), [link=tt0089366]Hail Mary[/link] (1985), [link=tt0830211]Je Vous Salue, Sarajevo[/link] (1993), [link=tt0179212][red]Histoire(s) du cinéma[/red][/link] (1998), [link=tt0181912][red]In Praise of Love[/red][/link] (2001), [link=tt0360845]Notre musique[/link] (2004), [link=tt1438535]Film socialisme[/link] (2010)",Jean-Luc Godard,Bande à part,1930-12-03
7,nm0001596,2010-10-12,2012-07-24,"[b]Recommended Viewing:[/b] [link=tt0054599][red]Accatone[/red][/link] (1961), [link=tt0056215]Mamma Roma[/link] (1962), [link=tt0057442]La rabbia[/link] (1963) [co-directed by [link=nm0345363]Giovanni Guareschi[/link]], [link=tt0058715][red]The Gospel According to St. Matthew[/red][/link] (1964), [link=tt0061132]The Hawks and the Sparrows[/link] (1966), [link=tt0061613]Oedipus Rex[/link] (1967), [link=tt0063678][red]Teorema[/red][/link] (1968), [link=tt0064828]Pigsty[/link] (1969), [link=tt0066065][red]Medea[/red][/link] (1969), [link=tt0065622]The Decameron[/link] (1971), [link=tt0067647]The Canterbury Tales[/link] (1972), [link=tt0071502]Arabian Nights[/link] (1974), [link=tt0073650][red]Salò, or the 120 Days of Sodom[/red][/link] (1975)",Pier Paolo Pasolini,Salò o le 120 giornate di Sodoma,1922-03-05
8,nm0001789,2010-12-17,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0053987]The Steamroller and the Violin[/link] (1961), [link=tt0056111][red]Ivan's Childhood[/red][/link] (1962), [link=tt0060107][red]Andrei Rublev[/red][/link] (1966), [link=tt0069293][red]Solaris[/red][/link] (1972), [link=tt0072443][red]The Mirror[/red][/link] (1975), [link=tt0079944][red]Stalker[/red][/link] (1979), [link=tt0086022]Nostalghia[/link] (1983), [link=tt0091670][red]The Sacrifice[/red][/link] (1986)",Andrei Tarkovsky,Solyaris,1932-04-04
9,nm0003638,2010-12-17,2012-06-05,"[b]Recommended Viewing:[/b] [link=tt0013442][red]Nosferatu[/red][/link] (1922), [link=tt0015064][red]The Last Laugh[/red][/link] (1924), [link=tt0016847][red]Faust[/red][/link] (1926), [link=tt0018455][red]Sunrise[/red][/link] (1927), [link=tt0020768]City Girl[/link] (1930), [link=tt0022458][red]Tabu[/red][/link] (1931)",F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
10,nm0654868,2010-12-17,2012-06-11,"[b]Recommended Viewing: [/b][link=tt0023634]I Was Born, But...[/link] (1932), [link=tt0027752]The Only Son[/link] (1936), [link=tt0034591]There Was a Father[/link] (1942), [link=tt0041154][red]Late Spring[/red][/link] (1949), [link=tt0043313][red]Early Summer[/red][/link] (1951), [link=tt0044982]Flavor of Green Tea Over Rice[/link] (1952), [link=tt0046438][red]Tokyo Story[/red][/link] (1953), [link=tt0049784]Early Spring[/link] (1956), [link=tt0051093]Tokyo Twilight[/link] (1957), [link=tt0051720]Equinox Flower[/link] (1958), [link=tt0053134]Good Morning[/link] (1959), [link=tt0053390]Floating Weeds[/link] (1959), [link=tt0053579]Late Autumn[/link] (1960), [link=tt0055052]The End of Summer[/link] (1961), [link=tt0056444][red]An Autumn Afternoon[/red][/link] (1962)",Yasujirô Ozu,Tôkyô monogatari,1903-12-12
